label,category,path,exists,file_size_mb,notes
baseline_selected_mesh,final_reconstruction,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/baseline_selected_mesh.ply,True,9.191,Canonical selected baseline mesh copied from Poisson reconstruction.
dense_fused_point_cloud,colmap_dense_output,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/dense/fused.ply,True,14.949,Dense colored point cloud generated by COLMAP stereo fusion.
poisson_mesh,colmap_mesh_output,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/dense/meshed-poisson.ply,True,9.191,Poisson mesh selected as the cleaner canonical mesh.
delaunay_mesh,colmap_mesh_output,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/dense/meshed-delaunay.ply,True,4.355,Delaunay mesh retained as diagnostic comparison output.
ros2_ply_mesh,ros2_mesh_export,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/ros2_export/meshes/apollo_lunar_patch.ply,True,9.191,PLY mesh export for ROS2/RViz2 workflows.
ros2_obj_mesh,ros2_mesh_export,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/ros2_export/meshes/apollo_lunar_patch.obj,True,31.219,OBJ mesh export used by the URDF visual mesh.
ros2_stl_mesh,ros2_mesh_export,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/ros2_export/meshes/apollo_lunar_patch.stl,True,17.981,STL geometry-only fallback mesh.
ros2_package_xml,ros2_package,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/ros2_export/apollo_lunar_patch_viz/package.xml,True,0.001,ROS2 package manifest.
ros2_cmakelists,ros2_package,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/ros2_export/apollo_lunar_patch_viz/CMakeLists.txt,True,0.0,ROS2 CMake package file.
urdf_model,ros2_visualization,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/ros2_export/apollo_lunar_patch_viz/urdf/apollo_lunar_patch.urdf,True,0.001,URDF model referencing the exported mesh asset.
rviz2_launch_file,ros2_visualization,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/ros2_export/apollo_lunar_patch_viz/launch/view_apollo_lunar_patch.launch.py,True,0.001,Launch file for robot_state_publisher and RViz2 visualization.
rviz2_config,ros2_visualization,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/ros2_export/apollo_lunar_patch_viz/rviz/apollo_lunar_patch.rviz,True,0.001,RViz2 configuration file.
baseline_mesh_preview,documentation_figure,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/figures/baseline_poisson_vs_delaunay_preview.png,True,0.492,Side-by-side baseline Poisson/Delaunay mesh preview figure.
dense_fusion_summary,documentation_table,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/tables/baseline_dense_fusion_summary.csv,True,0.0,Dense fusion statistics table.
mesh_generation_summary,documentation_table,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/tables/baseline_mesh_generation_run_summary.csv,True,0.0,Mesh generation run summary table.
mesh_statistics,documentation_table,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/tables/baseline_mesh_stats.csv,True,0.0,Mesh statistics table.
geometry_diagnostic_summary,documentation_table,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/tables/baseline_geometry_diagnostic_summary.csv,True,0.001,Outlier-filtered geometry diagnostic table.
baseline_reconstruction_summary,documentation_table,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/tables/baseline_reconstruction_summary.csv,True,0.002,Baseline reconstruction selection summary.
ros2_mesh_export_summary,documentation_table,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/tables/ros2_mesh_export_summary.csv,True,0.001,ROS2 mesh export summary table.
ros2_visualization_package_summary,documentation_table,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/tables/ros2_visualization_package_summary.csv,True,0.001,Generated ROS2 package artifact summary.
ros2_package_build_readiness,documentation_table,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/tables/ros2_package_build_readiness.csv,True,0.001,ROS2 package build readiness check.
